,DOM,TSCounter,time
584,16.0,1620656696.9,78043743.0
585,18.0,1620656696.9,78043739.0
586,1.0,1620656697.9,94764423.0
587,2.0,1620656697.9,94764426.0
588,6.0,1620656697.9,94764427.0
589,11.0,1620656697.9,94764424.0
590,12.0,1620656697.9,94764422.0
591,13.0,1620656697.9,94764425.0
592,14.0,1620656697.9,94764416.0
593,16.0,1620656697.9,94764420.0
594,18.0,1620656697.9,94764416.0
595,1.0,1620656699.0,11485318.0
596,2.0,1620656699.0,11485321.0
597,6.0,1620656699.0,11485322.0
598,11.0,1620656699.0,11485319.0
599,12.0,1620656699.0,11485317.0
600,13.0,1620656699.0,11485320.0
601,14.0,1620656699.0,11485311.0
602,16.0,1620656699.0,11485315.0
603,18.0,1620656699.0,11485311.0
604,1.0,1620656700.0,28205771.0
605,2.0,1620656700.0,28205775.0
606,6.0,1620656700.0,28205776.0
607,11.0,1620656700.0,28205773.0
608,12.0,1620656700.0,28205770.0
609,13.0,1620656700.0,28205774.0
610,14.0,1620656700.0,28205765.0
611,16.0,1620656700.0,28205768.0
612,18.0,1620656700.0,28205764.0
613,1.0,1620656701.0,44926260.0
614,2.0,1620656701.0,44926264.0
615,6.0,1620656701.0,44926265.0
616,11.0,1620656701.0,44926262.0
617,12.0,1620656701.0,44926259.0
618,13.0,1620656701.0,44926263.0
619,14.0,1620656701.0,44926254.0
620,16.0,1620656701.0,44926257.0
621,18.0,1620656701.0,44926253.0
622,1.0,1620656702.0,61646400.0
623,2.0,1620656702.0,61646403.0
624,6.0,1620656702.0,61646404.0
625,11.0,1620656702.0,61646402.0
626,12.0,1620656702.0,61646399.0
627,13.0,1620656702.0,61646403.0
628,14.0,1620656702.0,61646393.0
629,16.0,1620656702.0,61646397.0
630,18.0,1620656702.0,61646393.0
631,1.0,1620656703.0,78367216.0
632,2.0,1620656703.0,78367219.0
633,6.0,1620656703.0,78367220.0
634,11.0,1620656703.0,78367217.0
635,12.0,1620656703.0,78367214.0
636,13.0,1620656703.0,78367218.0
